Part/Designator,Manufacture Part Number/Seeed SKU,Quantity
"C1,C10,C11,C12,C13,C14,C2,C7,C8,C9",302010178,10
C23,302010139,1
"C25,C28",302010097,2
"C15,C16,C17,C18,C19,C20,C21,C22,C24,C26,C27,C3,C5,C6",302010138,14
"D1,D10,D13,D14,D2,D5,D6,D9",304090043,8
"D11,D12,D15,D16,D17,D3,D4,D7,D8",304020027,9
"P11,P12,P13,P14",320040007,4
P2,320110033,1
"P10,P3,P4,P5,P6,P7,P8,P9",320110028,8
Q1,305030015,1
Q10,305030026,1
"R1,R11,R12,R15,R16,R21,R3,R4,R7,R8",301010230,10
"R19,R20,R22,R23,R25,R27",301010114,6
"R10,R13,R14,R17,R18,R2,R5,R6,R9",301010299,9
R24,301010163,1
"R26,R28",301010170,2
Y1,306010055,1
